,timestamp,appliance_name,bid_price,bid_quantity,S_D
0,2016-07-01 00:00:00,EV_1,100.0,7.0,D
1,2016-07-01 00:00:00,EV_2,100.0,14.0,D
2,2016-07-01 00:00:00,EV_3,100.0,20.0,D
3,2016-07-01 00:00:00,EV_4,100.0,10.0,D
4,2016-07-01 00:00:00,EV_5,100.0,14.0,D
5,2016-07-01 00:00:00,EV_6,100.0,20.0,D
6,2016-07-01 00:05:00,EV_1,100.0,7.0,D
7,2016-07-01 00:05:00,EV_2,100.0,14.0,D
8,2016-07-01 00:05:00,EV_3,100.0,20.0,D
9,2016-07-01 00:05:00,EV_4,100.0,10.0,D
10,2016-07-01 00:05:00,EV_5,100.0,14.0,D
11,2016-07-01 00:05:00,EV_6,100.0,20.0,D
12,2016-07-01 00:10:00,EV_1,100.0,7.0,D
13,2016-07-01 00:10:00,EV_2,100.0,14.0,D
14,2016-07-01 00:10:00,EV_3,100.0,20.0,D
15,2016-07-01 00:10:00,EV_4,100.0,10.0,D
16,2016-07-01 00:10:00,EV_5,100.0,14.0,D
17,2016-07-01 00:10:00,EV_6,100.0,20.0,D
18,2016-07-01 00:15:00,EV_1,100.0,7.0,D
19,2016-07-01 00:15:00,EV_2,100.0,14.0,D
20,2016-07-01 00:15:00,EV_3,100.0,20.0,D
21,2016-07-01 00:15:00,EV_4,97.98473273600001,9.709200000000001,D
22,2016-07-01 00:15:00,EV_5,100.0,14.0,D
23,2016-07-01 00:15:00,EV_6,100.0,20.0,D
24,2016-07-01 00:20:00,EV_1,100.0,7.0,D
25,2016-07-01 00:20:00,EV_2,100.0,14.0,D
26,2016-07-01 00:20:00,EV_3,100.0,20.0,D
27,2016-07-01 00:20:00,EV_5,100.0,14.0,D
28,2016-07-01 00:20:00,EV_6,100.0,20.0,D
29,2016-07-01 00:25:00,EV_1,100.0,7.0,D
30,2016-07-01 00:25:00,EV_2,100.0,14.0,D
31,2016-07-01 00:25:00,EV_3,100.0,20.0,D
32,2016-07-01 00:25:00,EV_6,100.0,20.0,D
33,2016-07-01 00:30:00,EV_1,100.0,7.0,D
34,2016-07-01 00:30:00,EV_2,100.0,14.0,D
35,2016-07-01 00:30:00,EV_3,100.0,20.0,D
36,2016-07-01 00:30:00,EV_6,100.0,20.0,D
37,2016-07-01 00:35:00,EV_1,100.0,7.0,D
38,2016-07-01 00:35:00,EV_2,100.0,14.0,D
39,2016-07-01 00:35:00,EV_3,100.0,20.0,D
40,2016-07-01 00:35:00,EV_6,100.0,20.0,D
41,2016-07-01 00:40:00,EV_1,100.0,7.0,D
42,2016-07-01 00:40:00,EV_2,100.0,14.0,D
43,2016-07-01 00:40:00,EV_3,100.0,20.0,D
44,2016-07-01 00:40:00,EV_6,100.0,20.0,D
45,2016-07-01 00:45:00,EV_1,100.0,7.0,D
46,2016-07-01 00:45:00,EV_3,79.04287586400001,16.8072,D
47,2016-07-01 00:50:00,EV_1,100.0,7.0,D
48,2016-07-01 00:55:00,EV_1,100.0,7.0,D
49,2016-07-01 01:00:00,EV_1,100.0,7.0,D
50,2016-07-01 01:05:00,EV_1,100.0,7.0,D
51,2016-07-01 01:10:00,EV_1,100.0,7.0,D
52,2016-07-01 01:15:00,EV_1,100.0,7.0,D
53,2016-07-01 01:20:00,EV_1,100.0,7.0,D
54,2016-07-01 01:25:00,EV_1,100.0,7.0,D
55,2016-07-01 01:30:00,EV_1,100.0,7.0,D
56,2016-07-01 01:35:00,EV_1,50.75945375999999,1.8095999999999999,D
57,2016-07-01 03:00:00,Battery_1,15.94,3.9,D
58,2016-07-01 03:00:00,Battery_2,15.94,3.9,D
59,2016-07-01 03:00:00,Battery_3,15.94,3.9,D
60,2016-07-01 03:00:00,Battery_4,15.94,3.9,D
61,2016-07-01 03:00:00,Battery_5,15.94,3.9,D
62,2016-07-01 03:00:00,Battery_6,15.94,3.9,D
63,2016-07-01 03:00:00,EV_5,16.215408639999993,3.2352,D
64,2016-07-01 03:05:00,Battery_1,15.94,3.9,D
65,2016-07-01 03:05:00,Battery_2,15.94,3.9,D
66,2016-07-01 03:05:00,Battery_3,15.94,3.9,D
67,2016-07-01 03:05:00,Battery_4,15.94,3.9,D
68,2016-07-01 03:05:00,Battery_5,15.94,3.9,D
