# file...... TESS/TESS_0000/total_P_Out.csv
# date...... Fri Mar 13 20:59:41 2020
# user...... (null)
# host...... (null)
# group..... class=inverter
# property.. P_Out
# limit..... 0
# interval.. 60
# timestamp,EV_inverter_1,PV_inverter_1,Bat_inverter_1,EV_inverter_2,PV_inverter_2,Bat_inverter_2,EV_inverter_3,PV_inverter_3,Bat_inverter_3,EV_inverter_4,PV_inverter_4,Bat_inverter_4,EV_inverter_5,PV_inverter_5,Bat_inverter_5,EV_inverter_6,PV_inverter_6,Bat_inverter_6
2016-07-01 00:00:00 PDT,-7000,+0,+0,-14000,+0,+0,-20000,+0,+0,-10000,+0,+0,-14000,+0,+0,-20000,+0,+0
2016-07-01 00:01:00 PDT,-7000,+0,+0,-14000,+0,+0,-20000,+0,+0,-10000,+0,+0,-14000,+0,+0,-20000,+0,+0
2016-07-01 00:02:00 PDT,-7000,+0,+0,-14000,+0,+0,-20000,+0,+0,-10000,+0,+0,-14000,+0,+0,-20000,+0,+0
2016-07-01 00:03:00 PDT,-7000,+0,+0,-14000,+0,+0,-20000,+0,+0,-10000,+0,+0,-14000,+0,+0,-20000,+0,+0
2016-07-01 00:04:00 PDT,-7000,+0,+0,-14000,+0,+0,-20000,+0,+0,-10000,+0,+0,-14000,+0,+0,-20000,+0,+0
2016-07-01 00:05:00 PDT,-7000,+0,+0,-14000,+0,+0,-20000,+0,+0,-10000,+0,+0,-14000,+0,+0,-20000,+0,+0
2016-07-01 00:06:00 PDT,-7000,+0,+0,-14000,+0,+0,-20000,+0,+0,-10000,+0,+0,-14000,+0,+0,-20000,+0,+0
2016-07-01 00:07:00 PDT,-7000,+0,+0,-14000,+0,+0,-20000,+0,+0,-10000,+0,+0,-14000,+0,+0,-20000,+0,+0
2016-07-01 00:08:00 PDT,-7000,+0,+0,-14000,+0,+0,-20000,+0,+0,-10000,+0,+0,-14000,+0,+0,-20000,+0,+0
2016-07-01 00:09:00 PDT,-7000,+0,+0,-14000,+0,+0,-20000,+0,+0,-10000,+0,+0,-14000,+0,+0,-20000,+0,+0
2016-07-01 00:10:00 PDT,-7000,+0,+0,-14000,+0,+0,-20000,+0,+0,-10000,+0,+0,-14000,+0,+0,-20000,+0,+0
2016-07-01 00:11:00 PDT,-7000,+0,+0,-14000,+0,+0,-20000,+0,+0,-10000,+0,+0,-14000,+0,+0,-20000,+0,+0
2016-07-01 00:12:00 PDT,-7000,+0,+0,-14000,+0,+0,-20000,+0,+0,-10000,+0,+0,-14000,+0,+0,-20000,+0,+0
2016-07-01 00:13:00 PDT,-7000,+0,+0,-14000,+0,+0,-20000,+0,+0,-10000,+0,+0,-14000,+0,+0,-20000,+0,+0
2016-07-01 00:14:00 PDT,-7000,+0,+0,-14000,+0,+0,-20000,+0,+0,-10000,+0,+0,-14000,+0,+0,-20000,+0,+0
2016-07-01 00:15:00 PDT,-7000,+0,+0,-14000,+0,+0,-20000,+0,+0,-9709.2,+0,+0,-14000,+0,+0,-20000,+0,+0
2016-07-01 00:16:00 PDT,-7000,+0,+0,-14000,+0,+0,-20000,+0,+0,-9709.2,+0,+0,-14000,+0,+0,-20000,+0,+0
2016-07-01 00:17:00 PDT,-7000,+0,+0,-14000,+0,+0,-20000,+0,+0,-9709.2,+0,+0,-14000,+0,+0,-20000,+0,+0
2016-07-01 00:18:00 PDT,-7000,+0,+0,-14000,+0,+0,-20000,+0,+0,-9709.2,+0,+0,-14000,+0,+0,-20000,+0,+0
2016-07-01 00:19:00 PDT,-7000,+0,+0,-14000,+0,+0,-20000,+0,+0,-9709.2,+0,+0,-14000,+0,+0,-20000,+0,+0
2016-07-01 00:20:00 PDT,-7000,+0,+0,-14000,+0,+0,-20000,+0,+0,+0,+0,+0,-14000,+0,+0,-20000,+0,+0
2016-07-01 00:21:00 PDT,-7000,+0,+0,-14000,+0,+0,-20000,+0,+0,+0,+0,+0,-14000,+0,+0,-20000,+0,+0
2016-07-01 00:22:00 PDT,-7000,+0,+0,-14000,+0,+0,-20000,+0,+0,+0,+0,+0,-14000,+0,+0,-20000,+0,+0
